标题	内容
垃圾	"（该条评论已经被删除）这软件就坑人 大家都没下载
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
垃圾中的垃圾不能再垃圾了	"骗钱的玩意
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
浪费时间	"有什么卵用，相比探探还是差太多了，探探至少还可以约个炮，这里有呢，聊个天有钱，什么都是钱，只对男的来的。
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
感谢	"（该条评论已经被删除）感谢平台让我找到了共度后半生的她
 ----------------------------------------------------------------------------------------- 
 开发者回复：感谢您对陌声APP的支持，祝您生活愉快！"
五星差评给大家说说怎么套路你	（该条评论已经被删除）这个app聊天要用金币，一句话多少金币，金币男生付，但是一句话多少金币是可以设置的，所以如果真的是想和你聊天的完全可以设置成免费，而且互相关注聊天也可以免费，但是就算你要求对方也不会同意的，就是来骗你钱的。然后有很多机器人会找你，这个都容易分辨，又会有很多托来找你，那叫一个主动，你让她关注你或者设置免费或者加微信qq她都会拒绝的
差评	"可以说是史上最差的软件，都是些骗人的，动不动就要充值
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
破坏别人家庭	"这个软件是帮助别人找小三，出轨的吗？也不看看有没有老婆孩子，这个软件趁早下架吧！
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
骗人的	（该条评论已经被删除）谁用谁知道，只有脑残玩意才用，我来说说，注册成功后30秒之内绝对有人发消息，不论你注册是男是女，最多发送不超过5条消息便会提示你充值，视频语音聊天还是按分钟收费的，要别的联系方式千方百计各种借口不给。所以广告推广说关闭充值入口那就是在骗傻子
垃圾软件，骗钱的！！	"上面好多拖，设置聊天收费，诱惑你不断充钱聊天。不要轻信，这种垃圾软件不会运营长久的，只能改头换面继续骗人！记住开发者，莫要再次上当受骗！
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
垃圾软件	"不是不要钱吗。垃圾
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
垃圾软件	"（该条评论已经被删除）劝大家不要下载，让你聊几句就开始说免费次数聊完了，要充钱，骗子多别信
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
挺恶心的	"（该条评论已经被删除）注销账号得把账号绑定手机才可以。这不就是不玩了也得留个手机号么？留了手机号以后就是各种电话各种短信都来了，没谁了。软件里一帮聊托儿深夜加班热火朝天的，好家伙。生怕你不充值呀，不玩，没劲。纯坑
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，您可以点击软件底部【我】-【帮助与反馈】-【账号问题】申请注销即可，提交注销后需7个工作日审核。账号相关数据在注销后将清空，被系统收回，并对平台其他用户开放申请，请谨慎注销。"
用了半个小时吧，真实评论！给五星让更多的人看到！	（该条评论已经被删除）软件真的不怎么样，以盈利为目的，注册后会有女的主动搭讪，都不知道是不是请的枪手，软件每发一条信息扣除2金币，金币不够了就必须充值才能继续，试问用微信附近的人功能不香吗？用得着你这个破软件吗？
滚吧	"没聊几句就暗示你充钱 苹果怎么可以让这样的APP上线呢 害人啊 反正我一毛钱没投入过
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
严重差评	"说了互关聊天不收费  还一直收费  坑钱玩意  土豪随意
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，互为好友聊天免费，使用中有任何问题请及时与在线客服QQ:800882886 方便为您提交查询处理。"
垃圾软件！已删除！	"（该条评论已经被删除）聊几句就得购买金币！特别烦人的软件！非常垃圾！非常垃圾！
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
充值两百多才发现里面里面的套路	"一开始很多人主动联系，但都是乱七八糟的，感觉什么人都有，没几个聊的来，聊天发信息都要充值，其中有一个聊的可以，一提到其它联系方式，各种借口，明显没有真心交友，这其中有套路，请大家不要入坑
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
垃圾软件	"（该条评论已经被删除）垃圾软件，干什么都用金币，第二个化腾呗
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
泄漏用户信息！垃圾软件。。	"只要你开通国王，你就可以知道对方注册用哪个手机号，强烈建议大家别注册，我的信息已经被泄漏，每天都被骚扰，如果我的人身安全收到威胁，我一定会起诉你们平台
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声平台支持微博\\微信\\QQ以及手机号注册，平台对于用户信息都是极度保密不会公开的，您说被骚扰请问具体是指什么？请与平台在线客服QQ:800882886 联系提供相应凭证，方便为您查询及处理。"
垃圾软件	"第一，发消息都要币，没有币发不出去，各种充值跳出来，要想和一个人好好聊天怎么着也得好几百大洋。
第二，给对方发的微信号，电话号码，全部会被屏蔽，我也是今天才知道的，金币照收，但是对方看不到，字母的话会出现星星字符。真的可以举报了。有没有组团的。
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
骗钱软件	"首先你注册好一登陆就会有很多女的发信息给你
发消息是收费的，一条消息大概是4毛钱。互相关注不要钱，但是上面的女人是不会关注你的，更不会给你别的联系方式。反正是只在这上面聊。
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
骗钱的软件	"垃圾，里面好多机器人，  垃圾 ！聊天还要钱。
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
垃圾	"（该条评论已经被删除）垃圾软件，动不动就要充钱
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过20万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
陌声客服已死	"买了几个月侯爵里面充值598金币 无缘无故禁言陌声客服半天不回复不处理
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，由于在线咨询人数较多，可能没有及时回复，非常抱歉。您可以先留言客服QQ:800882886 稍后会为您查询处理的。"
垃圾	"（该条评论已经被删除）垃圾中的垃圾
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
垃圾	"说好的花钱不强求  不花钱怎么聊天  系统还有自己帮你给女的打招呼  女的就找你聊天  一句话五金币  一天下来二三十块人民币  都是在扯蛋  一个多月下来  没有一个见过的  微信都没有加到一个  我还是去相亲香点
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
就是个坑钱的垃圾软件	"全身托，和机器人聊天。  聊的不互相关注的都是忽悠你充金币的。垃圾，祝开发商的麻麻早日上西天。
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
假的不要不要的	"真心 没什么问题。 只是一个假字概括。还真人。。。评论的基本都是真人。（给一星）
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
垃圾软件	"（该条评论已经被删除）大家不要相信。 发一条信息要几毛钱。 垃圾软件
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
超级坑人	"坑人！坑人！坑人！
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
陌声真棒??	"（该条评论已经被删除）这就是个骗子软件，我刚开始是在快手上看到的，快手上说一切免费语音视频全部免费，里面不管是什么也全部免费，但我下载注册之后发现，聊天花钱，干啥啥花钱，完全就是骗人，关键是聊天的还是机器人，跟我的对话完全搭不上边，希望把广告做的真实一点OK？
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
单身男人们都来看看	（该条评论已经被删除）这就是一个女人说说话开开视频的赚钱软件。大家千万不要上当受骗。
垃圾软件	"不是说不要钱的吗？诚信何在？就是拍了个事情说不要钱，聊着聊着就要收费啦？虚假宣传吗？
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
我可以告诉你全是托，	"（该条评论已经被删除）太垃圾了，我第一次下载进去就充会员，然后聊天说话都要充钱才可以，苹果也傻了么，让这种软件进商店，真该好好整顿下了，谢谢
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
骗钱贼厉害	"（该条评论已经被删除）骗钱贼厉害
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过20万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
套路深的app	"（该条评论已经被删除）好多托已上线就给你打招呼忽悠你引诱你视频语音等等直白点就是骗你充值
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
收费、收费、还是收费！！！	"收费?收费?还是收收收收收费?
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
收费软件	"聊天要充金币的
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
垃圾中的垃圾	"里面全是拖，套路俗的不能再俗了，都是侮辱智商的骗术，引诱用户花钱充币，这种软件这种公司就应该封杀。这个软件没有最垃圾，只有更垃圾，垃圾中的垃圾。
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
服了	"很烦 一直真人审核不通过 语音也不通过 就是不让你过
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，使用中有任何问题都可以联系平台人工客服QQ800882886为您处理，谢谢"
千万别被骗了	"广大单身男性千万别被骗了，里面的人全是拖，要么就是机器人，骗钱的软件
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
垃圾软件，天天给你一星让你下架	"（该条评论已经被删除）很垃圾让你买金币聊天，虽然可以关注后不花钱，可是你会发现没有女人愿意关注你，即使关注了也是一些其他打广告或者是其他的，要不就是关注后不搭理你，为了挣钱无所不用其极，自从App经营换国内后，垃圾软件满天飞就这样也能审核通过？
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
让你看看这种垃圾软件	（该条评论已经被删除）一上线就是各种搭讪其实全是系统发的，等你回过去就会发现陌生钱桥搭线收你五个金币，下面好戏开始了，各种和你聊聊的你金币不够用，强迫消费，里面女人十有八九是拖引诱你充钱，花金币得积分，积分换钱等你钱花的差不多了这些拖就和你拜拜了，然后换个头像换个名字，继续出来骗钱，经常看到两个号头像一样的，公司的目的是有一个，就是压榨别人的钱养肥他们，什么真爱真情全是假的，这种垃圾公司的领导很清楚让你开会员免费聊天你们不会开的，不如索性让你们说话收费那样挣得更多
坑坑坑坑坑，发消息都有限制，还要收费	"没见过这么稀烂的聊天软件
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
秒退	"回复消息 打字页面一开秒退 烦人
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
半分都给多了	（该条评论已经被删除）大家千万不要下载，要充钱的，而且没什么价值，当然除非你很有钱
闻所未闻.	"发消息都要钱？三毛一条？穷疯了吧，强制性收费建议国家取缔.
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
垃圾软件，聊几句就要充值，重点是软件还很卡。不建议装。	"（该条评论已经被删除）垃圾软件，聊几句就要充值，重点是软件还很卡。不建议装。
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
垃圾软件要钱	"要钱里面还有各种托好意思吗
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
点一星让它下架吧，别再害人了	"（该条评论已经被删除）里面明显都是托，聊天都需要金币，真不怕上央视？
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过20万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
这软件、垃圾中的垃圾	"评分低不是没有道理的、进去就要充钱发信息
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
骗人的软件	"里面的人根本就是假的，视频又不肯开、垃圾软件、聊两句就要充值才能聊、专门骗人充值的
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
，	"客服都是摆设，不解决问题，qq客服，微信客服都是死人
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，人工在线客服QQ:800882886 由于在线咨询人数较多，可能不能及时回复，敬请谅解，可以先留言。"
骗钱的软件，找几个女的主动跟你聊天	"（该条评论已经被删除）骗钱的软件，找几个女的主动跟你聊天，你想聊就得充值！！！！骗钱的软件，找几个女的主动跟你聊天，你想聊就得充值！！！！骗钱的软件，找几个女的主动跟你聊天，你想聊就得充值！！！！骗钱的软件，找几个女的主动跟你聊天，你想聊就得充值！！！！
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
又是一款骗人的软件	"里面连聊天都要充值
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
坑爹啊	"不看评论不知道，一看评论吓一跳，果断卸载，赶紧点根烟压压惊
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
陌声注册会员都要钱	"你们的软件说话要钱视频要钱.什么都要钱..套路坑人..进去了还都是假人.骗子.
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
垃圾软件	"利用单身人士渴望交友的心理，找 托和机器人给你发一条信息，回复就开始扣金币。滚吧，发数字和字母就屏蔽
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
垃圾软件	"多好的社会环境 就是被这种软件给糟蹋了
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己，祝您早日遇见适合的Ta。"
垃圾软件	"得花钱，垃圾软件
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过20万用户脱单，在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
